case_id,foreground_exact,rerun_part_count,stored_part_count
cellular_telephone,True,11,11
laptop_computer,True,14,14
television_set,True,4,4
remote_control,True,23,23
calculator,True,34,34
telephone,True,17,17
clock,True,3,3
watch,True,6,6
earphone,True,5,5
fan,True,5,5
lamp,True,6,6
blender,True,9,9
microwave_oven,True,18,18
kettle,True,5,5
mouse_computer_equipment,True,3,3
chair,True,23,23
bench,True,26,26
stool,True,10,10
table,True,15,15
bottle,True,2,2
jar,True,4,4
can,True,4,4
cup,True,3,3
mug,True,4,4
glass_drink_container,True,6,6
bowl,True,4,4
handbag,True,6,6
plastic_bag,True,5,5
box,True,4,4
carton,True,6,6
crate,True,9,9
basket,True,2,2
bucket,True,5,5
trash_can,True,6,6
plate,True,2,2
tray,True,1,1
vase,True,8,8
car_automobile,True,9,9
bicycle,True,8,8
book,True,6,6
newspaper,True,2,2
pen,True,6,6
pencil,True,4,4
wallet,True,4,4
belt,True,7,7
hat,True,9,9
helmet,True,6,6
shoe,True,5,5
slipper_footwear,True,3,3
scarf,True,9,9
sweater,True,8,8
towel,True,7,7
pillow,True,12,12
soap,True,4,4
drill,True,3,3
screwdriver,True,5,5
wrench,True,5,5
broom,True,5,5
hammer,True,2,2
knife,True,2,2
scissors,True,7,7
ladder,True,5,5
guitar,True,9,9
pan_for_cooking,True,6,6
spoon,True,3,3
