candidate_count,case_id,expected_domain,fusion_seconds,ground_truth_used_in_inference,mean_matched_boundary_f1_at_025,mean_matched_iou_at_025,object_category,object_iou,object_precision,object_recall,oversegmentation_ratio,part_f1_at_025,part_f1_at_050,part_precision_at_025,part_precision_at_050,part_recall_at_025,part_recall_at_050,predicted_part_count,semantic_part_recall_at_025,variant
16,cellular_telephone,device,0.13955449999775738,False,0.0,0.0,cellular_telephone,0.9845442055923711,0.99693132300894,0.9875369837474162,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,A0_independent_max
16,cellular_telephone,device,0.15947319997940212,False,0.0,0.0,cellular_telephone,0.9845839899785832,0.9969721148141328,0.9875369837474162,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,A1_cross_source_consensus
16,cellular_telephone,device,0.20580950001021847,False,0.16008139121353038,0.4804186224937439,cellular_telephone,0.9845442055923711,0.99693132300894,0.9875369837474162,0.75,0.28571428571428575,0.0,0.3333333333333333,0.0,0.25,0.0,3.0,0.25,A2_consensus_hierarchy
16,cellular_telephone,device,0.2290060999803245,False,0.3505290458286365,0.47649726271629333,cellular_telephone,0.9845442055923711,0.99693132300894,0.9875369837474162,2.5,0.28571428571428575,0.14285714285714288,0.2,0.1,0.5,0.25,10.0,0.5,A3_full_fusion
25,laptop_computer,device,0.2647193999728188,False,0.0,0.0,laptop_computer,0.9428853007574802,0.9978655023952459,0.9447908413425655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A0_independent_max
25,laptop_computer,device,0.266664499999024,False,0.0,0.0,laptop_computer,0.9435818160998511,0.9970597488081698,0.9462147048353945,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,A1_cross_source_consensus
25,laptop_computer,device,0.37667149998014793,False,0.45935028150062107,0.48390159010887146,laptop_computer,0.9530778377389555,0.9954978086150686,0.9572037158244054,1.1428571428571428,0.26666666666666666,0.13333333333333333,0.25,0.125,0.2857142857142857,0.14285714285714285,8.0,0.2857142857142857,A2_consensus_hierarchy
25,laptop_computer,device,0.4042718000127934,False,0.5610369920121911,0.5558741986751556,laptop_computer,0.9528714999485497,0.995508678046275,0.9569855431924398,1.8571428571428572,0.4,0.2,0.3076923076923077,0.15384615384615385,0.5714285714285714,0.2857142857142857,13.0,0.5714285714285714,A3_full_fusion
6,television_set,device,0.01895440003136173,False,0.0,0.0,television_set,0.9667817649372787,0.9999095881741332,0.9668662849149801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A0_independent_max
6,television_set,device,0.021042100037448108,False,0.0,0.0,television_set,0.9667817649372787,0.9999095881741332,0.9668662849149801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A1_cross_source_consensus
6,television_set,device,0.027759699965827167,False,0.7820224719101123,0.550058901309967,television_set,0.9664758075090695,0.999909559555033,0.9665603007387332,0.8,0.22222222222222224,0.22222222222222224,0.25,0.25,0.2,0.2,4.0,0.0,A2_consensus_hierarchy
6,television_set,device,0.03260149998823181,False,0.6078164122476917,0.49276408553123474,television_set,0.9667817649372787,0.9999095881741332,0.9668662849149801,0.6,0.5,0.25,0.6666666666666666,0.3333333333333333,0.4,0.2,3.0,0.0,A3_full_fusion
25,remote_control,device,0.05461759999161586,False,0.0,0.0,remote_control,0.6295955479602121,0.7894071754299214,0.7566884348009268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A0_independent_max
25,remote_control,device,0.05673209996894002,False,0.0,0.0,remote_control,0.6295955479602121,0.7894071754299214,0.7566884348009268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A1_cross_source_consensus
25,remote_control,device,0.06741070002317429,False,0.6333231052470083,0.3207547068595886,remote_control,0.6615435739802277,0.7579478393299067,0.8387402570044239,6.0,0.09523809523809525,0.0,0.05555555555555555,0.0,0.3333333333333333,0.0,18.0,0.0,A2_consensus_hierarchy
25,remote_control,device,0.07055969996144995,False,0.6333231052470083,0.3207547068595886,remote_control,0.6615851125695771,0.7579593584923618,0.838792921845376,7.333333333333333,0.08,0.0,0.045454545454545456,0.0,0.3333333333333333,0.0,22.0,0.0,A3_full_fusion
35,calculator,device,0.0895232999464497,False,0.36515112150342083,0.6600193977355957,calculator,0.8205906795371731,1.0,0.8205906795371731,1.5,0.4,0.4,0.3333333333333333,0.3333333333333333,0.5,0.5,3.0,0.0,A0_independent_max
35,calculator,device,0.08802170003764331,False,0.32702509850153566,0.7556759715080261,calculator,0.821549574889727,1.0,0.821549574889727,1.5,0.4,0.4,0.3333333333333333,0.3333333333333333,0.5,0.5,3.0,0.0,A1_cross_source_consensus
35,calculator,device,0.10858269996242598,False,0.10139560642951735,0.5525192022323608,calculator,0.9756230031948881,0.9995417498608884,0.976059579364572,17.0,0.05555555555555555,0.05555555555555555,0.029411764705882353,0.029411764705882353,0.5,0.5,34.0,0.5,A2_consensus_hierarchy
35,calculator,device,0.10915239999303594,False,0.3329330230426603,0.42167967557907104,calculator,0.9754952076677317,0.9995416898549776,0.9759317266508981,17.0,0.1111111111111111,0.05555555555555555,0.058823529411764705,0.029411764705882353,1.0,0.5,34.0,0.0,A3_full_fusion
37,telephone,device,0.11146580002969131,False,0.0,0.0,telephone,0.7050212417464299,1.0,0.7050212417464299,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,A0_independent_max
37,telephone,device,0.10707310005091131,False,0.499540822040542,0.6006301641464233,telephone,0.705635460920305,1.0,0.705635460920305,0.5,0.3333333333333333,0.3333333333333333,0.5,0.5,0.25,0.25,2.0,0.0,A1_cross_source_consensus
37,telephone,device,0.12486310000531375,False,0.6792988407652467,0.6674476861953735,telephone,0.7580891330891331,0.9920772303595207,0.7627066591595434,3.75,0.2105263157894737,0.10526315789473685,0.13333333333333333,0.06666666666666667,0.5,0.25,15.0,0.0,A2_consensus_hierarchy
37,telephone,device,0.13271660002646968,False,0.6788545658045827,0.6619874686002731,telephone,0.7582926332926333,0.9920793397231097,0.7629113988841685,4.0,0.2,0.1,0.125,0.0625,0.5,0.25,16.0,0.0,A3_full_fusion
4,clock,device,0.027570599981117994,False,0.4025241864230711,0.37358585000038147,clock,0.38272563427145434,1.0,0.38272563427145434,0.25,0.4,0.0,1.0,0.0,0.25,0.0,1.0,0.25,A0_independent_max
4,clock,device,0.02317509998101741,False,0.4025241864230711,0.37358585000038147,clock,0.38272563427145434,1.0,0.38272563427145434,0.25,0.4,0.0,1.0,0.0,0.25,0.0,1.0,0.25,A1_cross_source_consensus
4,clock,device,0.03632740001194179,False,0.8014536097318923,0.6129796504974365,clock,0.4338011825164392,0.9918509159823121,0.4353528351587412,0.75,0.28571428571428575,0.28571428571428575,0.3333333333333333,0.3333333333333333,0.25,0.25,3.0,0.25,A2_consensus_hierarchy
4,clock,device,0.03561879997141659,False,0.8014536097318923,0.6129796504974365,clock,0.4338011825164392,0.9918509159823121,0.4353528351587412,0.75,0.28571428571428575,0.28571428571428575,0.3333333333333333,0.3333333333333333,0.25,0.25,3.0,0.25,A3_full_fusion
17,watch,device,0.059299000015016645,False,0.30445175102682026,0.4302065968513489,watch,0.8871266496874276,0.9996086616227498,0.887434858135495,0.6666666666666666,0.4,0.0,0.5,0.0,0.3333333333333333,0.0,2.0,0.3333333333333333,A0_independent_max
17,watch,device,0.068248100054916,False,0.3196290672805342,0.3972640931606293,watch,0.8924133672918114,0.9996109790360925,0.8927234124686354,1.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,3.0,0.3333333333333333,A1_cross_source_consensus
